id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
restart_757,The Restart Project,GBR,English,Laptop,Toshiba,Unknown,????,Repairable,Restart HQ,2013-06-19,Laptop - Won't boot -
restart_758,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Fixed,Restart HQ,2013-06-19,"Radio - Buzzing, cutting out -"
restart_759,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Fixed,Restart HQ,2013-06-19,CD player - No sound -
restart_760,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,End of life,Restart HQ,2013-06-19,DVD player - No sound -
restart_761,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,Fixed,Restart HQ,2013-06-19,Mp3 player - No power -
restart_762,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,Repairable,Restart HQ,2013-06-19,Mobile - Mic problem - Tried cardboard hack and failed
restart_763,The Restart Project,GBR,English,Laptop,Acer,Unknown,????,End of life,Restart HQ,2013-06-19,Laptop - No power -
restart_764,The Restart Project,GBR,English,Flat screen,Apple,Unknown,????,End of life,Restart HQ,2013-06-19,Monitor - No picture - Likely the backlight
restart_765,The Restart Project,GBR,English,Lamp,Unknown,Unknown,????,End of life,Restart HQ,2013-06-19,Lamp - No light - No time
restart_766,The Restart Project,GBR,English,PC Accessory,Apple,Unknown,????,End of life,Restart HQ,2013-07-06,Keyboard - Faulty keys - Much photographed
restart_767,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-07-06,Mouse charger - Ã¢â‚¬Å“BlewÃ¢â‚¬ï† -
restart_768,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-06,Portable DVD player - Drive broken -
restart_769,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,Fixed,Restart HQ,2013-07-06,Mobile - Configuration problem -
restart_770,The Restart Project,GBR,English,Vacuum,Unknown,Unknown,????,End of life,Restart HQ,2013-07-06,Hoover - Overheats -
restart_771,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-06,Freeview box - Gets no power -
restart_772,The Restart Project,GBR,English,Digital Compact Camera,Sony,Unknown,????,End of life,Restart HQ,2013-07-06,Camera - Screen issue -
restart_773,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-06,Laptop - Won't boot -
restart_774,The Restart Project,GBR,English,Hi-Fi separates,Yamaha,Unknown,????,Fixed,Restart HQ,2013-07-06,Musical keyboard - Gets no power -
restart_775,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-07-06,Mobile - -
restart_776,The Restart Project,GBR,English,Portable radio,Sony,Unknown,????,Unknown,Restart HQ,2013-07-06,Radio - -
restart_777,The Restart Project,GBR,English,Desktop computer,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-06,Desktop computer - -
restart_778,The Restart Project,GBR,English,Laptop,Sony,Unknown,????,End of life,Restart HQ,2013-07-06,Laptop - Screen issue -
restart_779,The Restart Project,GBR,English,Flat screen,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Monitor - No image - Faulty capacitor identified
restart_780,The Restart Project,GBR,English,Laptop,HP,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Water damage - Removed HD Ã¢â‚¬â€œ terminal
restart_781,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,DVD recorder - Open/close mechanism -
restart_782,The Restart Project,GBR,English,Hi-Fi integrated,Sony,Unknown,????,Repairable,Restart HQ,2013-07-31,Home stereo - No sound output -
restart_783,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-31,Home stereo - Buttons broken -
restart_784,The Restart Project,GBR,English,Mobile,Motorola,Unknown,????,End of life,Restart HQ,2013-07-31,Mobile - No sound output -
restart_785,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Camera - Lens stuck -
