"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
"Laptop medium",Apple,"Needs new screen assembly",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Apple,"Cracked screen assembly",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Apple,"Cracjed rear case glass",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Samsung,"Screen blacked out after physical impact",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Samsung,"No display on the screen, light at the bottom - need to research more on the issue",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Xiaomi,"Water damaged + cracked screen assembly",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Tablet,Samsung,"Needs new battery",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Apple,"Cracked screen assembly",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
"Laptop medium",Apple,"Needs new battery",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
Mobile,Apple,"Cracked screen assembly + camera lens; needs new battery",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-31
"Decorative or safety lights",,"Not working / cleaned spiders and durt from inside panel and works faintly","End of life",No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Decorative or safety lights",,"Not working / too many broken wires to repair","End of life",No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,,"Main stop/start buttons not working / soldered new plates inside",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,,"Main stop/start buttons not working / soldered new plates inside",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Toy,,"Doesn't work / Can't find fault","End of life",No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Tablet,Hudl,"Unable to charge / couldn't find fault, returning when more time",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Lamp,,"Not working / replaced fuse in plug",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,Silvercrest,"Not working / not able to find fault",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Musical instrument",Yamaha,"Not working / can't find fault","End of life",No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Mobile,,"Needs help with phone software / O2 guru assisted",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Lamp,,"Issue with attaching shade / given Sugru to fix at home",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,,"Switch not working / internal fuse blown, returning when sourced new fuse",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Lamp,,"Switch doesn't work / switch broken, bypassed, so now just use plug for on/off",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Lamp,,"Not working / rewire and new plug",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Flat screen 19-20""",,"Nothing displayed / unable to find fault",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Vacuum,Hoover,"Doesn't suck well/cleaned the filters!",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Laptop small",Dell,"Issue with keyboard and tracker pad buttons / needs new button unti",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Laptop medium",,"Doesn't charge/fixed power socket",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,,"Won't play music through speakers/loose connection on circuit board, found work around so it works",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Toaster,,"Leaver forced instead of using cancel button - realigned mechanics",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Misc,,"Flashing on/off and not working/need a new heating element",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Power tool",Bosch,"Not working - unable to find fault",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Paper shredder",Fellowes,"Only worked in reverse - cleaned",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"TV and gaming-related accessories",Nintendo,"Not working - couldn't test without a TV",Repairable,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
Lamp,,"Not working / bypassed switch and replaced plug",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
"Power tool",Flymo,"Won't switch on/cleaned the switch and now works",Fixed,No,"Buckland United Reformed Church","Repair Café Portsmouth",2019-03-16
