,Category,Brand,Comments,Repair_Status,Event_Location,Restart_Group,Event_Date,Location_Coordinates
0,Laptop medium,Apple,Needs new screen assembly,Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
1,Mobile,Apple,Cracked screen assembly,Fixed,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
2,Mobile,Apple,Cracjed rear case glass,Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
3,Mobile,Samsung,Screen blacked out after physical impact,Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
4,Mobile,Samsung,"No display on the screen, light at the bottom - need to research more on the issue",Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
5,Mobile,Xiaomi,Water damaged + cracked screen assembly,Fixed,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
6,Tablet,Samsung,Needs new battery,Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
7,Mobile,Apple,Cracked screen assembly,Fixed,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
8,Laptop medium,Apple,Needs new battery,Repairable,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
9,Mobile,Apple,Cracked screen assembly + camera lens; needs new battery,Fixed,The Hong Kong University of Science and Technology,REMAKE,2019-03-31,"[40.7028922, -73.9905448]"
10,Decorative or safety lights,Unknown,Not working / cleaned spiders and durt from inside panel and works faintly,End of life,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
11,Decorative or safety lights,Unknown,Not working / too many broken wires to repair,End of life,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
12,Misc,Unknown,Main stop/start buttons not working / soldered new plates inside,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
13,Misc,Unknown,Main stop/start buttons not working / soldered new plates inside,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
